DEPARTURE_AIRPORT_IATA,ARRIVAL_AIRPORT_IATA,tot_???,tot_ALLARMATI,tot_ALLARMI CHIUSI,tot_ALLARMI CHIUSI CON AZIONE (CC.XX),tot_ALLARMI GENERATI,tot_ALLARMI GENERATI DA BCS,tot_ALLARMI GENERATI DA INTERPOL,tot_ALLARMI GENERATI DA SDI/NSIS,tot_ALLARMI NON CHIUSI,tot_ALLARMI RILEVANTI,tot_ALTRO,tot_ERRATA SEGNALAZIONE BCS,tot_ERRATA SEGNALAZIONE NSIS,tot_ERRATA SEGNALAZIONE SDI,tot_INAMMISSIBILITA SCHENGEN - ART.24,tot_MANCATO AGGIORNAMENTO SCHENGEN NSIS,tot_MANCATO AGGIORNAMENTO SDI,tot_N/C,tot_NOTIFICA ATTI/PROVV,tot_NULLA A PROCEDERE INT,tot_NULLA A PROCEDERE NSIS,tot_NULLA A PROCEDERE SDI,tot_RESPINTO/A,tot_VIAGGIATORI CON ALLARMI,tot_VIAGGIATORI ENTRATI NEL SISTEMA,tot_VIAGGIATORI INVESTIGATI,tot_VOLI CON ALLARMI,tot_VOLI DISPONIBILI IN INGRESSO AL SISTEMA,tot_VOLI INVESTIGATI (SDI/NSIS - INTERPOL - TSC),"tot_VOLI SOLO VISUALIZZATI, MA NON INVESTIGATI",DEPARTURE_CITY,DEPARTURE_COUNTRY,n_high_risk,n_medium_risk,tot_entries,tot_investigated,tot_alarms,n_records,alarm_intensity,alert_rate,investigation_rate,alert_rate_ALB,alert_rate_AFG,alert_rate_AGO,alert_rate_doc_VISTO,alert_rate_doc_PERMESSO DI SOGGIORNO,alert_rate_doc_PASSAPORTO,pct_SEGNALATO,pct_IN ATTESA,pct_RESPINTO,pct_FERMATO,route,if_anomaly,if_score,lof_anomaly,lof_score,dbscan_anomaly,z_max,z_anomaly,anomaly_votes,anomaly_consensus
CGO,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,ZHENGZHOU,CINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CGO→MXP,0,-0.11969498542160212,1,6.949330582066304,0,,0,1,0
CKG,FCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,CHONGQING,CINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CKG→FCO,0,-0.16532511372762881,0,2.809292224376981,0,,0,0,0
CLE,FLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE→FLR,0,-0.18966164385611034,0,0.9868298805398092,0,,0,0,0
CLE,MXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,CLE→MXP,0,-0.1772407965604958,0,1.5689007620740036,0,,0,0,0
CMN,BGY,0.0,0.0,49.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,163.0,0.0,1.0,2.0,2.0,1.0,CASABLANCA,MAROCCO,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CMN→BGY,0,-0.06470249618261015,0,1.3141375109038993,0,,0,0,0
CMN,BLQ,0.0,0.0,43.0,1.0,0.0,0.0,0.0,70.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,0.0,75.0,295.0,335.0,1.0,4.0,3.0,6.0,CASABLANCA,MAROCCO,0.0,0.0,3.0,3.0,2.0,3.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,CMN→BLQ,1,0.03567073145348776,0,1.5792048564661965,0,,0,1,0
CMN,CTA,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,121.0,0.0,0.0,0.0,0.0,1.0,CASABLANCA,MAROCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CMN→CTA,0,-0.12743106275453225,0,1.9039162255516888,0,,0,0,0
CMN,CUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,1.0,1.0,0.0,2.0,CASABLANCA,MAROCCO,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CMN→CUF,0,-0.11806584781312951,1,6.441001749669596,0,,0,1,0
CMN,FCO,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,89.0,140.0,255.0,2.0,4.0,2.0,2.0,CASABLANCA,MAROCCO,0.0,0.0,6.0,6.0,1.0,3.0,0.16666666666666666,0.16666666666666666,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,CMN→FCO,0,-0.07095951332834122,0,1.1659498497319711,0,,0,0,0
CMN,MXP,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,462.0,508.0,4.0,4.0,4.0,3.0,CASABLANCA,MAROCCO,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CMN→MXP,0,-0.10539340456433932,0,1.0725864338775177,0,,0,0,0
